fips,name,name-cdp,total-housing-units,margin-of-error-total,owner-occupied-units,marin-of-error-owner,renter-occupied,margin-of-error-renter
1600000US0602868,Arroyo Grande city,"Arroyo Grande city, California",17697,112,11781,1017,5916,1015
1600000US0602896,Artesia city,"Artesia city, California",16015,145,8397,874,7618,882
1600000US0602910,Artois CDP,"Artois CDP, California",236,127,102,82,134,105
1600000US0602924,Arvin city,"Arvin city, California",21102,90,10677,1000,10425,998
1600000US0602980,Ashland CDP,"Ashland CDP, California",23400,1519,8376,1047,15024,1529
1600000US0603026,Aspen Springs CDP,"Aspen Springs CDP, California",56,64,40,56,16,29
1600000US0603064,Atascadero city,"Atascadero city, California",30075,224,19741,934,10334,896
1600000US0603092,Atherton town,"Atherton town, California",6485,157,5862,317,623,273
1600000US0603162,Atwater city,"Atwater city, California",30195,117,15479,1371,14716,1384
1600000US0603190,Auberry CDP,"Auberry CDP, California",3275,504,2627,475,648,245
1600000US0603204,Auburn city,"Auburn city, California",13785,137,8578,643,5207,647
1600000US0603205,Auburn Lake Trails CDP,"Auburn Lake Trails CDP, California",3495,574,3000,532,495,283
1600000US0603209,August CDP,"August CDP, California",7933,1633,4144,1509,3789,761
1600000US0603274,Avalon city,"Avalon city, California",3711,33,1128,450,2583,448
1600000US0603302,Avenal city,"Avenal city, California",10305,350,4970,964,5335,969
1600000US0603316,Avery CDP,"Avery CDP, California",444,230,271,127,173,195
1600000US0603330,Avila Beach CDP,"Avila Beach CDP, California",1455,514,1130,484,325,272
1600000US0603344,Avocado Heights CDP,"Avocado Heights CDP, California",13719,1286,10280,1357,3439,826
1600000US0603386,Azusa city,"Azusa city, California",44353,597,22816,1485,21537,1442
1600000US0603512,Baker CDP,"Baker CDP, California",596,208,171,138,425,157
1600000US0603526,Bakersfield city,"Bakersfield city, California",375470,580,229340,4565,146130,4606
1600000US0603546,Bakersfield Country Club CDP,"Bakersfield Country Club CDP, California",1486,234,1418,226,68,57
1600000US0603666,Baldwin Park city,"Baldwin Park city, California",75178,191,43368,1889,31810,1930
1600000US0603694,Ballard CDP,"Ballard CDP, California",764,266,572,244,192,118
1600000US0603708,Ballico CDP,"Ballico CDP, California",508,176,236,118,272,144
1600000US0603792,Bangor CDP,"Bangor CDP, California",407,177,388,171,19,30
1600000US0603820,Banning city,"Banning city, California",29978,133,18707,1198,11271,1219
1600000US0604030,Barstow city,"Barstow city, California",23248,188,9595,1109,13653,1117
1600000US0604198,Bass Lake CDP,"Bass Lake CDP, California",291,172,291,172,0,13
1600000US0604415,Bay Point CDP,"Bay Point CDP, California",25337,2187,13903,1655,11434,2260
1600000US0604470,Bayview CDP (Contra Costa County),"Bayview CDP (Contra Costa County), California",2745,1018,1858,414,887,1003
1600000US0604478,Bayview CDP (Humboldt County),"Bayview CDP (Humboldt County), California",2770,531,1980,463,790,289
1600000US0604549,Baywood Park CDP,"Baywood Park CDP, California",1775,295,1697,298,78,72
1600000US0604576,Beale AFB CDP,"Beale AFB CDP, California",955,142,0,13,955,142
1600000US0604632,Bear Creek CDP,"Bear Creek CDP, California",95,104,69,104,26,35
1600000US0604716,Bear Valley CDP (Alpine County),"Bear Valley CDP (Alpine County), California",91,69,75,65,16,18
1600000US0604730,Bear Valley CDP (Mariposa County),"Bear Valley CDP (Mariposa County), California",135,115,135,115,0,13
1600000US0604734,Bear Valley Springs CDP,"Bear Valley Springs CDP, California",5286,848,4832,857,454,317
1600000US0604758,Beaumont city,"Beaumont city, California",48096,131,38081,1648,10015,1635
1600000US0604772,Beckwourth CDP,"Beckwourth CDP, California",388,238,388,238,0,13
1600000US0604856,Belden CDP,"Belden CDP, California",0,13,0,13,0,13
